               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093445,            0.027332,            0.026404,             0.14164,             0.77451,             0.36378,             0.11672,            0.036755,            0.013356,            0.012854,            0.070833,           0.0032407,           0.0032407
                   1,            0.065001,             0.02077,            0.011323,             0.70975,             0.83864,             0.84013,             0.32299,            0.029628,            0.007798,           0.0036675,            0.040768,            0.006509,            0.006509
                   2,            0.066709,            0.014786,           0.0039242,             0.36101,             0.74837,             0.36732,             0.14648,             0.05241,           0.0043478,           0.0022667,            0.010637,           0.0097112,           0.0097112
                   3,            0.062797,            0.012914,           0.0034413,             0.85065,             0.93884,             0.94081,              0.4633,            0.025131,            0.005713,           0.0006649,            0.009703,            0.009703,            0.009703
                   4,            0.052669,            0.011062,           0.0037493,             0.65292,             0.80325,             0.72529,              0.4625,             0.02799,            0.005888,          0.00083008,            0.009703,            0.009703,            0.009703
                   5,             0.04404,            0.010162,           0.0023217,             0.69578,                   1,             0.73564,             0.47617,            0.025939,           0.0042973,          0.00085831,            0.009604,            0.009604,            0.009604
                   6,            0.041776,           0.0093254,           0.0021622,             0.80443,                   1,             0.96619,               0.664,            0.029536,           0.0041037,          0.00085487,            0.009505,            0.009505,            0.009505
                   7,            0.037073,           0.0087877,           0.0018605,             0.83404,                   1,             0.96751,             0.66455,            0.018188,           0.0035324,          0.00089264,            0.009406,            0.009406,            0.009406
                   8,            0.035131,            0.008183,           0.0016073,             0.92837,                   1,             0.96605,             0.46001,            0.027578,           0.0035603,          0.00085392,            0.009307,            0.009307,            0.009307
                   9,            0.033606,           0.0083404,           0.0013288,             0.89579,                   1,             0.96796,             0.65928,            0.017803,           0.0030365,          0.00072632,            0.009208,            0.009208,            0.009208
                  10,            0.030602,           0.0075514,           0.0017292,             0.96647,                   1,             0.96736,             0.67741,            0.018644,           0.0028689,          0.00066357,            0.009109,            0.009109,            0.009109
                  11,            0.030137,           0.0072669,           0.0010927,             0.96787,                   1,             0.96889,             0.80756,            0.012272,           0.0027618,          0.00066862,             0.00901,             0.00901,             0.00901
