               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12457,            0.059615,                   0,                   0,                   0,                   0,                   0,             0.12499,            0.045044,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12399,             0.05424,                   0,          8.7719e-05,           0.0040486,           4.404e-05,           4.404e-06,             0.12311,            0.045753,                   0,            0.097297,          0.00029703,          0.00029703
                   2,             0.12141,            0.057417,                   0,                   0,                   0,                   0,                   0,             0.11976,            0.047562,                   0,             0.09549,           0.0004901,           0.0004901
                   3,             0.11781,            0.066546,                   0,          0.00035088,            0.016194,          0.00017828,          2.2263e-05,              0.1155,            0.050163,                   0,            0.093679,          0.00067921,          0.00067921
                   4,             0.11317,            0.066895,                   0,           0.0010526,            0.048583,          0.00055893,           8.764e-05,             0.10967,            0.053749,                   0,            0.091864,          0.00086436,          0.00086436
                   5,             0.10823,            0.076922,                   0,           0.0031579,             0.14575,           0.0018212,          0.00031697,             0.10372,            0.057076,                   0,            0.090046,           0.0010455,           0.0010455
                   6,             0.10466,            0.077153,                   0,           0.0087719,             0.40486,            0.006369,           0.0014501,            0.097747,            0.059464,                   0,            0.088223,           0.0012228,           0.0012228
                   7,            0.098432,            0.070586,                   0,            0.014561,             0.67206,            0.024541,           0.0066678,            0.091149,            0.060989,                   0,            0.086396,            0.001396,            0.001396
                   8,            0.095321,            0.073134,                   0,            0.062204,             0.81377,            0.096773,            0.022878,            0.088023,            0.058868,                   0,            0.084565,           0.0015654,           0.0015654
                   9,            0.090565,            0.072269,                   0,              0.2124,             0.36437,             0.17711,            0.039985,            0.084023,            0.055298,                   0,            0.082731,           0.0017307,           0.0017307
                  10,            0.090045,            0.070104,                   0,             0.24134,             0.51417,             0.26144,            0.057248,            0.083127,              0.0494,                   0,            0.080892,           0.0018921,           0.0018921
                  11,            0.085052,            0.056417,                   0,             0.25507,             0.54251,              0.3213,            0.078151,            0.086975,            0.045799,                   0,             0.07905,           0.0020495,           0.0020495
                  12,            0.085544,            0.062438,                   0,             0.27356,             0.65407,              0.3481,             0.08937,            0.080954,            0.045319,                   0,            0.077203,            0.002203,            0.002203
                  13,            0.081228,            0.055491,                   0,             0.34744,             0.65587,             0.43451,             0.12017,            0.082438,            0.042953,                   0,            0.075353,           0.0023525,           0.0023525
